District,school_name,地址,電話,傳真,電郵,網址,url,校長,校監/校管會主席
港島中西區,嘉諾撒聖心學校私立部,香港中環堅道26號,25248301,25371028,shcsps@shcsps.edu.hk,http://www.shcsps.edu.hk,https://www.schooland.hk/ps/shcsps,黃婉貞,黃佩玲修女 Sister Wong Pui Ling Virginia
港島中西區,聖類斯中學(小學部),香港西營盤第三街179號,25472306,37434571,info@stlouisps.edu.hk,https://stlouisps.edu.hk,https://www.schooland.hk/ps/stlouisps,陳靄媚女士 Ms. Chan Hoi Mei,陳鴻基神父 Fr. Chan Hung Kee
港島中西區,救恩學校,香港西營盤高街97B,21166198,25232835,kys-mail@kauyan.edu.hk,https://www.kauyan.edu.hk,https://www.schooland.hk/ps/kauyan,歐偉民博士 Dr. Au Wai Man,洪之龍先生 Mr. Hung Chi Lung
港島中西區,聖嘉勒小學,香港般咸道光景台3-6號,25472751,25594139,info@scps.edu.hk,https://scps.edu.hk,https://www.schooland.hk/ps/scps,李敏茵女士 Ms. Li Man Yan Elsa,黃詩麗女士 Ms. Wong She Lai Shirley
港島中西區,中華基督教青年會基雋小學,香港必列者士街70號,25372552,28587271,office@yca.edu.hk,https://yca.edu.hk/,https://www.schooland.hk/ps/ica,Mr Geoff Blaik,吳桂華先生
港島中西區,香島華德福學校,香港皇后大道西455號龍暉花園,51141451,,info@iws.edu.hk,https://iws.edu.hk/,https://www.schooland.hk/ps/iwshk,,徐瑩女士
港島中西區,李陞小學,香港西營盤高街119號,25408966,25405819,lsps@edb.gov.hk,https://www.lsps.edu.hk,https://www.schooland.hk/ps/lsps,余詠莉女士 Ms. Yu Wini,石慧嫻女士 Ms. Shek Wan Haan Kitty
港島中西區,般咸道官立小學,香港西營盤般咸道9A號,25171216,28576743,brgps@edb.gov.hk,http://www.brgps.edu.hk,https://www.schooland.hk/ps/brgps,李明佳先生 Mr. Lee Ming Kai Louie,林雨恒先生 Mr. Lam Yu Hang
港島中西區,聖公會聖馬太小學,香港上環新街12-20號,25483368,29754641,info@stmatthew.edu.hk,http://www.stmatthew.edu.hk,https://www.schooland.hk/ps/stmatthew,張敏聰先生 Mr. Cheung Man Chung,梁家佐牧師 Rev. Leung Ka Jor
港島中西區,天主教總堂區學校,香港中環律打街,25477618,25591595,cms@cms.edu.hk,http://www.cms.edu.hk,https://www.schooland.hk/ps/cms,宗藹雯,林銘神父 Rev. Lam Minh Pierre
港島中西區,英皇書院同學會小學第二校,香港上環普慶坊40號,25477575,25473555,office@kcobaps2.edu.hk,https://www.kcobaps2.edu.hk,https://www.schooland.hk/ps/kcobaps2,林淑芳女士 Ms. Lam Shuk Fong,林仲岷先生 Mr. Lam Nathaniel
港島中西區,新會商會學校,香港上環居賢坊1號,25465712,25405830,info@swcss.edu.hk,http://www.swcss.edu.hk,https://www.schooland.hk/ps/swcss,胡立峰先生 Mr. Oh Lap Fung,梁世光先生 Mr. Leung Sai Kwong
港島中西區,中西區聖安多尼學校,香港上環醫院道2號,25460369,25460302,sch@cwsa.edu.hk,https://www.cwsa.edu.hk,https://www.schooland.hk/ps/cwsa,郭達華先生 Mr. Kwok Tat Wah,蘇志超神父 Father So Chi Chiu Joseph
港島中西區,嘉諾撒聖心學校,香港中環堅道26號,25248679,28698154,shcs@shcs.edu.hk,https://www.shcs.edu.hk,https://www.schooland.hk/ps/shcs,何嘉儀女士 Ms. Ho Ka Yee Martina,李玉珊女士 Ms. Lee Yuk Shan Rossetti
港島中西區,聖士提反女子中學附屬小學,香港柏道33號,25405088,25414723,info@ssgps.edu.hk,http://www.ssgps.edu.hk,https://www.schooland.hk/ps/ssgps,柯靜如女士 Ms. Or Ching Yu,管浩鳴法政牧師 Rev. The Reverend Canon Koon Ho Ming Peter Douglas
港島中西區,香港潮商學校,香港薄扶林道79B,25461644,25172483,info@csshk.edu.hk,https://www.csshk.edu.hk,https://www.schooland.hk/ps/csshk,詹漢銘先生 Mr. Chim Hon Ming,鄭敬凱博士 Dr. Cheng King Hoi Andrew
港島中西區,英皇書院同學會小學,香港上環必列者士街58號,25477468,25405634,info@kcobaps1.edu.hk,https://www.kcobaps1.edu.hk,https://www.schooland.hk/ps/kcobaps1,屈嘉曼女士 Ms. Wat Ka Man,林仲岷先生 Mr. Lam Nathaniel
港島中西區,聖公會基恩小學,香港中環荷李活道109號,25240896,25217247,Info@skhkyps.edu.hk,http://www.skhkyps.edu.hk,https://www.schooland.hk/ps/skhkyps,楊冠如女士 Ms. Yeung Kwun Yu,林振偉法政牧師 Rev. Lam Chun Wai
港島中西區,聖嘉祿學校,香港堅尼地城蒲飛路25號,28173325,28177813,stcharles@mail.stcharles.edu.hk,http://www.stcharles.edu.hk,https://www.schooland.hk/ps/stcharles,李永佳先生 Mr. Li Wing Kai,何麗君女士 Ms. Ho Lai Kwan
港島中西區,聖公會呂明才紀念小學,香港西環加惠民道31號,28172305,28173950,info@skhlmcmps.edu.hk,http://www.skhlmcmps.edu.hk,https://www.schooland.hk/ps/skhlmcmps,李燕芬女士 Ms. Lee Yin Fun,呂兆衛先生 Mr. Lui Shiu Wai
港島中西區,聖安多尼學校,香港薄扶林道69號A,25466263,25405908,stanthonys@stanthonys.edu.hk,https://www.stanthonys.edu.hk,https://www.schooland.hk/ps/stanthonys,馬嘉健先生 Mr. Ma Kar Kin,吳多祿神父 Father Ng Dor Lok Peter
港島中西區,聖公會聖彼得小學,香港西營盤山道88號,25462624,28587052,info@spps.edu.hk,https://www.spps.edu.hk,https://www.schooland.hk/ps/spps,黎可欣女士 Ms. Lai Ho Yan Debbie,鄭詩敏女士 Ms. Chang See Mun Lily
港島東區,港大同學會小學,香港柴灣怡盛街9號,22023922,22023914,info@hkugaps.edu.hk,http://www.hkugaps.edu.hk,https://www.schooland.hk/ps/hkugaps,黃衛宗先生 Mr. Wong Wai Chung,鄧艷文博士 Dr. Tang Yim Man
港島東區,漢華中學(小學部),香港小西灣富欣道3號,28171746,28176453,info@honwah.edu.hk,http://www.honwah.edu.hk,https://www.schooland.hk/ps/honwah,關穎斌先生 Mr. Kwan Wing Bun,崔綺雲博士 Dr. Tsui Yee Wan Linda
港島東區,蘇浙小學校,香港北角清華街30號,25704436,28072739,enquiry@kcs.edu.hk,https://www.kcs.edu.hk,https://www.schooland.hk/ps/kcps2,王寶明先生 Mr. Wong Po Ming,張浩然先生 Mr. Chang Albert Ho Yin
港島東區,北角官立小學,香港北角英皇道888號,25617130,25628814,npgps@edb.gov.hk,http://www.npgps.edu.hk,https://www.schooland.hk/ps/npgps,葉韻婷女士 Ms. Ip Wan Ting Belinda,梁柏偉先生 Mr. Leung Pak Wai
港島東區,聖公會聖米迦勒小學,香港北角炮台山道23號,25709473,25034378,info@skhsms.edu.hk,http://www.skhsms.edu.hk,https://www.schooland.hk/ps/skhsms,陳裕均先生 Mr. Chan Yu Kwan,林振偉牧師 Rev. Lam Chun Wai
港島東區,北角循道學校,香港北角百福道15號,25619693,25627860,info@cmsnp.edu.hk,https://www.cmsnp.edu.hk,https://www.schooland.hk/ps/cmsnp,鄭家明,梁灼輝先生 Mr. Leung Cheuk Fai
港島東區,佛教中華康山學校,香港鰂魚涌康愉街2號,28844115,25679897,info@bcwkps.edu.hk,https://www.bcwkps.edu.hk,https://www.schooland.hk/ps/bcwkps,馬中駿先生 Mr. Ma Chung Tsun,釋演慈女法師 Ven. Sik Yin Chi
港島東區,香港嘉諾撒學校,香港鰂魚涌海澤街8號,25610115,25627840,info@canossahk.edu.hk,https://www.canossahk.edu.hk,https://www.schooland.hk/ps/canossahk,方碧燕女士 Ms. Fong Pik Yin Sikkie,邵苑芬修女 Sister Shiu Yuen Fun Magdalen
港島東區,丹拿山循道學校,北角百福道4號,25615822,25615800,info@cmsth.edu.hk,http://www.cmsth.edu.hk,https://www.schooland.hk/ps/cmsth,徐婉碧女士 Ms. Chui Yuen Pik,陳德昌牧師 Rev. Chan Tak Cheong
港島東區,啟基學校(港島),香港北角馬寶道82號,25610821,25610839,ccshki@ccshki.edu.hk,http://www.ccshki.edu.hk,https://www.schooland.hk/ps/ccshki,鄭惠琪女士 Ms. Cheng Wai Ki,馬偉雄先生 Mr. Ma Wai Hung Vincent
港島東區,滬江小學,香港鰂魚涌康怡花園康盛街14號,28844775,25398088,sap-mail@sap.edu.hk,https://www.sap.edu.hk,https://www.schooland.hk/ps/sap,樂凱欣女士 Ms. Lok Hoi Yan,林貝聿嘉博士 Dr. Lam Pei Peggy
港島東區,太古小學,香港英皇道1100號,25615555,28563550,taikoo@tps.edu.hk,http://www.tps.edu.hk,https://www.schooland.hk/ps/tps,葉碧君女士 Ms. Ip Bik Kwan,陳婷婷女士 Ms. Chan Teing Teing Tina
港島東區,番禺會所華仁小學,香港北角百福道2號,25722140,25724970,school@puwy.edu.hk,http://www.puwy.edu.hk/,https://www.schooland.hk/ps/puawyps,周秉濤先生 Mr. Chow Ping To James,鍾衞良先生 Mr. Chung Wai Leung
港島東區,北角衞理小學,香港北角百福道2A號,25703623,25107285,npm-info@npmps.edu.hk,https://www.npmps.edu.hk,https://www.schooland.hk/ps/npmps,黃侶詩女士 Ms. Wong Lui Sze,曾立基先生 Mr. Tsang Lap Ki Richard
港島東區,愛秩序灣官立小學,香港筲箕灣愛禮街1號,25611118,25628437,abgps@edb.gov.hk,https://www.abgps.edu.hk,https://www.schooland.hk/ps/abgps,崔家祥先生 Mr. Chui Ka Cheung,梁蘊儀女士 Ms. Wendy Leung
港島東區,筲箕灣官立小學,香港筲箕灣東大街19號,25692532,25689504,skwgps@edb.gov.hk,https://www.skwgps.edu.hk,https://www.schooland.hk/ps/skwgps,王偉傑先生 Mr. Wong Wai Kit,"梁詠珊女士 Ms. Leung Wing Shan, Magnolia"
港島東區,慈幼學校,香港筲箕灣柴灣道16號,28850032,25689450,mail@salesian.edu.hk,http://salesian.edu.hk,https://www.schooland.hk/ps/salesian,許劍園女士 Ms. Hsu Kim-Yuen,林仲偉神父 Fr. Lam Chung Wai
