District,school_name,地址,電話,傳真,電郵,網址,url,校長,校監/校管會主席
港島中西區,英皇書院,香港西環般咸道63號A。,25470310,25406908,kings@edb.gov.hk,https://www.kings.edu.hk,https://www.schooland.hk/ss/kings,"黃秋玲女士 Ms. Wong Chau Ling, Fiona",陳潔玲女士 Ms. Chan Kit Ling
港島中西區,聖保羅男女中學,香港麥當勞道33號。,25231187,28770442,adminoffice@spcc.edu.hk,https://www.spcc.edu.hk,https://www.schooland.hk/ss/spcc,潘紹慈先生 Mr. Poon Siu Chi,利乾博士 Dr. Chien Lee
港島中西區,聖保羅書院,香港般咸道67-69號。,25462241,25597075,mail@spc.edu.hk,http://www.spc.edu.hk,https://www.schooland.hk/ss/spc,"麥志豪先生 Mr. Mak Chi Ho, Michael","龐元燊先生 Mr. Pong Yuen Sun, Louis"
港島中西區,聖士提反女子中學,香港列堤頓道2號。,25492521,25596994,ssgc@ssgc.edu.hk,https://www.ssgc.edu.hk,https://www.schooland.hk/ss/ssgc,林麗容女士 Ms. Lam Lai Yung,管浩鳴法政牧師 The Revd Canon Koon Ho Ming Peter Douglas
港島中西區,英華女學校,香港中環羅便臣道76號。,25463151,28588669,school@ywgs.edu.hk,http://www.ywgs.edu.hk,https://www.schooland.hk/ss/ywgs,"祝慧勤女士 Ms. Chuk, Wai Kan",蘇成溢牧師 Rev. So Shing Yit Eric
港島中西區,高主教書院,香港半山羅便臣道2號。,25222159,25256725,rcss@raimondi.edu.hk,https://www.raimondi.edu.hk,https://www.schooland.hk/ss/raimondi,何泰安先生 Mr. Ho Tai On,盧詠琴女士 Ms. Lo Wing Kum
港島中西區,聖嘉勒女書院,香港摩星嶺道50號。,28171764,28558420,info@stclare.hk,http://www.stclare.edu.hk,https://www.schooland.hk/ss/stclare,黃碧瑜女士 Ms. Wong Pik Yu,"黃詩麗女士 Ms. Wong She Lai, Shirley"
港島中西區,聖若瑟書院,香港中環堅尼地道7號。,36524888,28770232,info@sjc.edu.hk,https://www.sjc.edu.hk,https://www.schooland.hk/ss/sjc,郭廸民先生 Mr. Kwok Tik Man,"陳國強修士 Rev. Bro. Chan Kok Keong, Jeffrey"
港島中西區,聖類斯中學,香港第三街179號。,25460117,25407341,mailbox@stlouis.edu.hk,http://www.stlouis.edu.hk,https://www.schooland.hk/ss/stlouis,易浩權博士 Dr. Yick Ho Kuen,陳鴻基神父 Rev. Dr. Chan Hung Kee
港島中西區,樂善堂梁銶琚書院,香港西營盤醫院道28號。,28587002,28572705,office@lstlkkc.edu.hk,https://lstlkkc.edu.hk,https://www.schooland.hk/ss/lstlkkc,鍾耀基先生 Mr. Chung Yiu Kee,"莫文韜先生 Mr. Mok Man Too, Michael"
港島中西區,聖士提反堂中學,香港薄扶林薄扶林道62號。,25466111,25407518,info@sscc.edu.hk,https://www.sscc.edu.hk,https://www.schooland.hk/ss/sscc,麥偉麟先生 Mr. Mak Wai Lun,葉錦輝牧師 The Revd Canon Ip Kam Fai
港島中西區,香島華德福學校,香港皇后大道西455號龍暉花園。,51141451,,info@iws.edu.hk,https://iws.edu.hk/,https://www.schooland.hk/ss/iwshk,,
港島東區,庇理羅士女子中學,香港天后廟道51號。,25718018,25785698,bps@edb.gov.hk,https://www.bps.hk/,https://www.schooland.hk/ss/belilios,王徽女士 Ms. Wong Fei,吳凱茵女士 Ms. Ng Hoi Yan
港島東區,張祝珊英文中學,香港北角雲景道11號。,25706665,25120429,public@live.ccsc.edu.hk,http://www.ccsc.edu.hk,https://www.schooland.hk/ss/ccsc,歐陽翊峰先生 Mr. Au Yeung Yick Fung Bernard,張鉅堂先生 Mr. Cheung Kui Tong Raymond
港島東區,香港中國婦女會中學,香港西灣河太祥街2號B。,25684817,25680336,school@hkcwcc.edu.hk,http://www.hkcwcc.edu.hk,https://www.schooland.hk/ss/hkcwcc,楊志强先生 Mr. Yeung Chi Keung,文綺芬博士 Dr. Man Yee Fun Evelyn
港島東區,中華基金中學,香港柴灣小西灣富欣道9號。,29047322,28922777,info@cfss.edu.hk,http://www.cfss.edu.hk,https://www.schooland.hk/ss/cfss,何廸信先生 Mr. Ho Tik Shun,"黃汝璞女士 Ms. Wong Yu Pok, Marina"
港島東區,嘉諾撒書院,香港鰂魚涌海澤街10號。,25630272,25628910,info@canossa.edu.hk,https://www.canossa.edu.hk,https://www.schooland.hk/ss/canossa,黃珮渝女士 Ms. Wong Pui Yue Patricia,黃瑞菊女士 Ms. Wong Shui Kuk Anny
港島東區,港島民生書院,香港西灣河太安街26號。,25671666,25671338,info@imsc.edu.hk,http://www.imsc.edu.hk,https://www.schooland.hk/ss/imsc,羅國潤先生 Mr. Lo Kwok Yun,郁德芬博士 Dr. Yuk Tak Fun
